,Name,UnitMean,Median,Mode,Unit,Mean
0,Total Sunlight Radiation per Day,,3123.1160000000004,352.1719444444445,W/m²,3051.963047108067
1,Total Water Production per Day,,312.31160000000006,35.217194444444445,kg,305.19630471080666
